"";"datum";"cas";"gho";"oblacnost";"teplota";"vietor";"vlhkost";"tlak";"praca";"fve";"fve_nazov";"ins_vykon";"dlzkadna";"azim";"elev"
"1";2015-07-01;2015-07-01 03:00:00;0;49;12;2;81;1022;2;1;"FVE Dubravy 1";850,000023841858;15,86;55,364;1,29842
"2";2015-07-01;2015-07-01 04:00:00;35;42;12,4;2;82;1022;11;1;"FVE Dubravy 1";850,000023841858;15,86;66,1656;9,94363
"3";2015-07-01;2015-07-01 05:00:00;126;31;14;1;77;1023;38;1;"FVE Dubravy 1";850,000023841858;15,86;76,6173;19,3301
"4";2015-07-01;2015-07-01 06:00:00;265;21;15,9;1;71;1023;85;1;"FVE Dubravy 1";850,000023841858;15,86;87,2703;29,1347
"5";2015-07-01;2015-07-01 07:00:00;428;27;17,8;1;68;1023;165;1;"FVE Dubravy 1";850,000023841858;15,86;98,912;39,0221
"6";2015-07-01;2015-07-01 08:00:00;554;44;19,3;0;63;1023;210;1;"FVE Dubravy 1";850,000023841858;15,86;112,791;48,5513
"7";2015-07-01;2015-07-01 09:00:00;656;43;20,5;0;59;1023;248;1;"FVE Dubravy 1";850,000023841858;15,86;130,976;56,9796
"8";2015-07-01;2015-07-01 10:00:00;721;45;21,9;1;55;1022;263;1;"FVE Dubravy 1";850,000023841858;15,86;156,089;62,9161
"9";2015-07-01;2015-07-01 11:00:00;687;59;22,5;1;53;1022;169;1;"FVE Dubravy 1";850,000023841858;15,86;187,295;64,3698
"10";2015-07-01;2015-07-01 12:00:00;584;66;22,5;1;55;1022;144;1;"FVE Dubravy 1";850,000023841858;15,86;216,349;60,6329
"11";2015-07-01;2015-07-01 13:00:00;541;46;22,8;1;56;1022;176;1;"FVE Dubravy 1";850,000023841858;15,86;238,02;53,3275
"12";2015-07-01;2015-07-01 14:00:00;483;44;22,6;2;60;1022;183;1;"FVE Dubravy 1";850,000023841858;15,86;253,914;44,2692
"13";2015-07-01;2015-07-01 15:00:00;332;75;21,9;1;67;1022;141;1;"FVE Dubravy 1";850,000023841858;15,86;266,57;34,5054
"14";2015-07-01;2015-07-01 16:00:00;69;100;20,3;0;77;1022;72;1;"FVE Dubravy 1";850,000023841858;15,86;277,638;24,6065
"15";2015-07-01;2015-07-01 17:00:00;54;43;18,8;1;91;1022;25;1;"FVE Dubravy 1";850,000023841858;15,86;288,118;14,9485
"16";2015-07-01;2015-07-01 18:00:00;86;2;18,1;1;95;1022;6;1;"FVE Dubravy 1";850,000023841858;15,86;298,67;5,85305
"17";2015-07-02;2015-07-02 03:00:00;1;0;14,1;1;77;1024;1;1;"FVE Dubravy 1";850,000023841858;15,84;55,3684;1,21745
"18";2015-07-02;2015-07-02 04:00:00;42;0;14,3;1;82;1024;11;1;"FVE Dubravy 1";850,000023841858;15,84;66,1772;9,86314
"19";2015-07-02;2015-07-02 05:00:00;145;0;15,9;1;80;1024;37;1;"FVE Dubravy 1";850,000023841858;15,84;76,6344;19,2502
"20";2015-07-02;2015-07-02 06:00:00;288;5;18,1;1;72;1025;96;1;"FVE Dubravy 1";850,000023841858;15,84;87,2915;29,0551
"21";2015-07-02;2015-07-02 07:00:00;427;36;19,9;1;66;1025;156;1;"FVE Dubravy 1";850,000023841858;15,84;98,935;38,9422
"22";2015-07-02;2015-07-02 08:00:00;558;25;21,1;1;63;1025;207;1;"FVE Dubravy 1";850,000023841858;15,84;112,811;48,4702
"23";2015-07-02;2015-07-02 09:00:00;646;63;22;1;60;1025;245;1;"FVE Dubravy 1";850,000023841858;15,84;130,977;56,8973
"24";2015-07-02;2015-07-02 10:00:00;663;79;22,6;2;59;1025;237;1;"FVE Dubravy 1";850,000023841858;15,84;156,041;62,8365
"25";2015-07-02;2015-07-02 11:00:00;686;80;23,1;2;57;1024;204;1;"FVE Dubravy 1";850,000023841858;15,84;187,179;64,3039
"26";2015-07-02;2015-07-02 12:00:00;631;90;23,5;1;55;1024;252;1;"FVE Dubravy 1";850,000023841858;15,84;216,206;60,5879
"27";2015-07-02;2015-07-02 13:00:00;279;100;22,5;1;57;1024;230;1;"FVE Dubravy 1";850,000023841858;15,84;237,89;53,2982
"28";2015-07-02;2015-07-02 14:00:00;208;88;21;0;71;1025;128;1;"FVE Dubravy 1";850,000023841858;15,84;253,801;44,2482
"29";2015-07-02;2015-07-02 15:00:00;349;36;21,7;1;70;1025;151;1;"FVE Dubravy 1";850,000023841858;15,84;266,471;34,4873
"30";2015-07-02;2015-07-02 16:00:00;305;38;22;0;68;1024;87;1;"FVE Dubravy 1";850,000023841858;15,84;277,549;24,5875
"31";2015-07-02;2015-07-02 17:00:00;196;22;21,6;0;70;1025;29;1;"FVE Dubravy 1";850,000023841858;15,84;288,034;14,926
"32";2015-07-02;2015-07-02 18:00:00;86;25;20,8;0;75;1025;5;1;"FVE Dubravy 1";850,000023841858;15,84;298,59;5,82475
"33";2015-07-03;2015-07-03 03:00:00;0;0;14,7;1;58;1028;1;1;"FVE Dubravy 1";850,000023841858;15,83;55,3775;1,13167
"34";2015-07-03;2015-07-03 04:00:00;41;0;14,6;1;66;1028;11;1;"FVE Dubravy 1";850,000023841858;15,83;66,194;9,77826
"35";2015-07-03;2015-07-03 05:00:00;145;0;16;1;65;1028;35;1;"FVE Dubravy 1";850,000023841858;15,83;76,6573;19,1663
"36";2015-07-03;2015-07-03 06:00:00;289;0;18;1;56;1028;100;1;"FVE Dubravy 1";850,000023841858;15,83;87,319;28,9716
"37";2015-07-03;2015-07-03 07:00:00;443;0;19,7;1;49;1028;166;1;"FVE Dubravy 1";850,000023841858;15,83;98,9649;38,8582
"38";2015-07-03;2015-07-03 08:00:00;587;0;21,1;1;46;1028;215;1;"FVE Dubravy 1";850,000023841858;15,83;112,838;48,3847
"39";2015-07-03;2015-07-03 09:00:00;705;0;22,3;1;45;1028;258;1;"FVE Dubravy 1";850,000023841858;15,83;130,986;56,8098
"40";2015-07-03;2015-07-03 10:00:00;786;0;23,3;1;44;1028;257;1;"FVE Dubravy 1";850,000023841858;15,83;156;62,7507
"41";2015-07-03;2015-07-03 11:00:00;822;0;24,1;1;45;1027;233;1;"FVE Dubravy 1";850,000023841858;15,83;187,065;64,2313
"42";2015-07-03;2015-07-03 12:00:00;811;0;24,6;1;44;1027;268;1;"FVE Dubravy 1";850,000023841858;15,83;216,061;60,5363
"43";2015-07-03;2015-07-03 13:00:00;753;1;25;2;44;1027;234;1;"FVE Dubravy 1";850,000023841858;15,83;237,754;53,2629
"44";2015-07-03;2015-07-03 14:00:00;653;0;25;2;44;1026;206;1;"FVE Dubravy 1";850,000023841858;15,83;253,683;44,2216
"45";2015-07-03;2015-07-03 15:00:00;521;0;24,4;3;47;1026;144;1;"FVE Dubravy 1";850,000023841858;15,83;266,367;34,4637
"46";2015-07-03;2015-07-03 16:00:00;367;7;23,4;3;50;1027;70;1;"FVE Dubravy 1";850,000023841858;15,83;277,454;24,5631
"47";2015-07-03;2015-07-03 17:00:00;207;9;22,2;3;51;1027;22;1;"FVE Dubravy 1";850,000023841858;15,83;287,946;14,8979
"48";2015-07-03;2015-07-03 18:00:00;89;3;20,9;2;53;1027;4;1;"FVE Dubravy 1";850,000023841858;15,83;298,507;5,79061
"49";2015-07-04;2015-07-04 03:00:00;0;14;13,9;1;69;1027;1;1;"FVE Dubravy 1";850,000023841858;15,81;55,3914;1,04114
"50";2015-07-04;2015-07-04 04:00:00;40;10;14,2;0;81;1026;9;1;"FVE Dubravy 1";850,000023841858;15,81;66,2161;9,68904
"51";2015-07-04;2015-07-04 05:00:00;143;7;16,2;0;82;1026;34;1;"FVE Dubravy 1";850,000023841858;15,81;76,6859;19,0783
"52";2015-07-04;2015-07-04 06:00:00;286;7;18,9;0;63;1026;98;1;"FVE Dubravy 1";850,000023841858;15,81;87,3527;28,8842
"53";2015-07-04;2015-07-04 07:00:00;440;6;20,9;0;58;1026;163;1;"FVE Dubravy 1";850,000023841858;15,81;99,0018;38,7703
"54";2015-07-04;2015-07-04 08:00:00;584;4;22,3;0;54;1026;214;1;"FVE Dubravy 1";850,000023841858;15,81;112,873;48,2949
"55";2015-07-04;2015-07-04 09:00:00;701;7;23,6;1;51;1025;249;1;"FVE Dubravy 1";850,000023841858;15,81;131,004;56,7174
"56";2015-07-04;2015-07-04 10:00:00;780;9;24,7;1;48;1025;265;1;"FVE Dubravy 1";850,000023841858;15,81;155,966;62,6589
"57";2015-07-04;2015-07-04 11:00:00;816;9;25,6;1;44;1024;268;1;"FVE Dubravy 1";850,000023841858;15,81;186,952;64,1518
"58";2015-07-04;2015-07-04 12:00:00;806;5;26,3;1;40;1023;259;1;"FVE Dubravy 1";850,000023841858;15,81;215,912;60,4781
"59";2015-07-04;2015-07-04 13:00:00;750;4;26,9;1;38;1023;235;1;"FVE Dubravy 1";850,000023841858;15,81;237,613;53,2215
"60";2015-07-04;2015-07-04 14:00:00;649;6;27,5;1;38;1022;197;1;"FVE Dubravy 1";850,000023841858;15,81;253,56;44,1892
"61";2015-07-04;2015-07-04 15:00:00;481;23;27,4;1;42;1022;142;1;"FVE Dubravy 1";850,000023841858;15,81;266,259;34,4346
"62";2015-07-04;2015-07-04 16:00:00;305;27;26,8;1;46;1021;78;1;"FVE Dubravy 1";850,000023841858;15,81;277,356;24,5332
"63";2015-07-04;2015-07-04 17:00:00;190;15;25,7;1;54;1021;24;1;"FVE Dubravy 1";850,000023841858;15,81;287,855;14,8642
"64";2015-07-04;2015-07-04 18:00:00;87;2;24;2;56;1021;5;1;"FVE Dubravy 1";850,000023841858;15,81;298,42;5,75059
"65";2015-07-05;2015-07-05 03:00:00;0;5;15,2;1;78;1021;1;1;"FVE Dubravy 1";850,000023841858;15,79;55,4102;0,945923
"66";2015-07-05;2015-07-05 04:00:00;39;5;15,6;1;84;1020;9;1;"FVE Dubravy 1";850,000023841858;15,79;66,2434;9,59558
